index	toxic_comment	neutral_comment1	neutral_comment2	neutral_comment3
0	и,чё,блядь где этот херой был до этого со своими доказательствами?	Ну и где этот герой был,со своими доказательствами?	Где этот герой был до этого со своими доказательствами?	и,где этот герой был до этого со своими доказательствами?
1	О, а есть деанон этого петуха?	О, а есть деанон		
2	херну всякую пишут,из-за этого лайка.долбоебизм.	Чушь всякую пишут, из- за этого лайка.	Ерунду всякую пишут,из-за этого лайка.	
3	из за таких пидоров мы и страдаем	из за таких плохих людей мы и страдаем	Из-за таких людей мы и страдаем	из за таких как он мы и страдаем
4	гондон путинский он а не артист	Человек Путина он, а не артист		
5	как урод такую херню пишет???	кто такую ерунду пишет		
6	в гсвг за такие сапоги пиздюлей получил бы от сослуживцев	В ГСВГ за такие сапоги наказали бы сослуживцы		
7	Скудоумие это свойство личности проявлять умственную ограниченность. И где здесь обзывание?	Слабоумие это свойство личности проявлять умственную ограниченность. И где здесь обзывание?		
8	Спасибо! Потому что предвзятость модераторов начинает напрягать - модерируют как бык поссал.	Спасибо! Потому что предвзятость модераторов начинает раздражать-модерируют спустя рукава.	Спасибо! Потому что предвзятость модераторов начинает напрягать.	
9	У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)	У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)		
10	Он про марихуану и вообще дуй отсюда, пока твой батя новый аккаунт не спалил.	Он про марихуану и вообще иди отсюда пока твой батя новый аккаунт не спалил		
11	слышишь тыпиздед! что то вы помощники россии не едите жить в деревню, а прёте в города!	Что же вы помощники России не едите жить в деревню, а все в городе едите?	Что-то вы, помощники России,  не едете жить в деревню, а живете в городах	
12	ну и выродки,это твой ребёнок,зачем ты сучка рожала.	ну и люди,это твой ребёнок,зачем ты рожала.		
13	людям нам тоесть что выбросов нет вешают людям машиной якобы какой то контроль держат ничего козлы не контролируют	Людям нам то есть что выбросов нет вешают людям машиной якобы какой то контроль держат ничего не контралируют		
14	позорник кадони поддержал зажравшегося меньщикова... без команды боится ребят поддержать и поставить придурка на место...	Кадони поддержал меньшикова. Без команды боится ребят поддержать и поставить его на место.		
15	сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш	сергей алонцев а ты приедь ко мне в гости на дальний восток  сам услышиш	Сергей алонцев а ты приедь ко мне в гости на дальний восток сам услышишь	
16	Почему у росгвардейца гибддшная палочка?	Почему у росгварлейца полицейский жезл?		
17	мы всегда лучше вас жили и живём . черти вы ебанные . иди жопу мой ванючка	мы всегда лучше вас жили и живём		
18	какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить	какой еще вид на жительство? он визу показывает,чтоб резиденцию испанскую получить. надо 3.5 года прожить или недвижимость дорогую купить	какой  вид на жительство,он  визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить	Какой вид на жительство? Он визу показывает, чтоб резиденцию испанскую получить, нужно 3,5 года прожить или недвижимость дорогую купить
19	ну дебил..что с таким чмошником говорить...тебе не на запад..тебе у куев надо..там для тебя все свои будут	О чем с тобой говорить, тебе не на запад надо, а в Киев ...там для тебя все свои будут		
20	жириновский чертовски прав! не светская львица, а блядь, отгодайте в этом случае кем является блогер?	жириновский чертовски прав! не светская львица, а плохая женщина, отгодайте в этом случае кем является блогер?	Жириновский чертовски прав! Не светская львица, а девушка лёгкого поведения,отгодайте в этом случае кем является блогер?	
21	Не пытайся меня понять. Не напрягай свои зачатки интеллекта.	Не пытайся меня понять, все равно не поймете		
22	зато его урода лправдывают, а людей невиных гнобят.купленые и судьи и адвокаты.твари.	Зато его оправдывают ,а людей невинных обижают ,купленные судьи и адвокаты		
